Rule ID,Policy Requirement,Evidence Types,Does This Rule Apply To Us?
CE 1,The organization demonstrates a commitment to integrity and ethical values.,,Category
CE 1.1,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 1.2,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 1.3,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.,,Category
CE 2.1,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2.2,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2.3,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.",,Category
CE 3.1,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3.2,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3.3,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.",,Category
CE 4.1,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4.2,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4.3,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 5,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives.,,Category
CE 5.1,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 5.2,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 5.3,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 6,The organization specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives.,,Category
RA 6.1,The organization specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 6.2,The organization specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 6.3,The organization specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 7,The organization identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.,,Category
RA 7.1,The organization identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 7.2,The organization identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 7.3,The organization identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 8,The organization considers the potential for fraud in assessing risks to the achievement of objectives.,,Category
RA 8.1,The organization considers the potential for fraud in assessing risks to the achievement of objectives. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 8.2,The organization considers the potential for fraud in assessing risks to the achievement of objectives. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 8.3,The organization considers the potential for fraud in assessing risks to the achievement of objectives. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 9,The organization identifies and assesses changes that could significantly impact the system of internal control.,,Category
RA 9.1,The organization identifies and assesses changes that could significantly impact the system of internal control. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 9.2,The organization identifies and assesses changes that could significantly impact the system of internal control. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
RA 9.3,The organization identifies and assesses changes that could significantly impact the system of internal control. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 10,The organization selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.,,Category
CA 10.1,The organization selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 10.2,The organization selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 10.3,The organization selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 11,The organization selects and develops general control activities over technology to support the achievement of objectives.,,Category
CA 11.1,The organization selects and develops general control activities over technology to support the achievement of objectives. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 11.2,The organization selects and develops general control activities over technology to support the achievement of objectives. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 11.3,The organization selects and develops general control activities over technology to support the achievement of objectives. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 12,The organization deploys control activities through policies that establish what is expected and procedures that put policies into action.,,Category
CA 12.1,The organization deploys control activities through policies that establish what is expected and procedures that put policies into action. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 12.2,The organization deploys control activities through policies that establish what is expected and procedures that put policies into action. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CA 12.3,The organization deploys control activities through policies that establish what is expected and procedures that put policies into action. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 13,"The organization obtains or generates and uses relevant, quality information to support the functioning of internal control.",,Category
IC 13.1,"The organization obtains or generates and uses relevant, quality information to support the functioning of internal control. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 13.2,"The organization obtains or generates and uses relevant, quality information to support the functioning of internal control. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 13.3,"The organization obtains or generates and uses relevant, quality information to support the functioning of internal control. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 14,"The organization internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.",,Category
IC 14.1,"The organization internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 14.2,"The organization internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 14.3,"The organization internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 15,The organization communicates with external parties regarding matters affecting the functioning of internal control.,,Category
IC 15.1,The organization communicates with external parties regarding matters affecting the functioning of internal control. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 15.2,The organization communicates with external parties regarding matters affecting the functioning of internal control. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
IC 15.3,The organization communicates with external parties regarding matters affecting the functioning of internal control. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 16,"The organization selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning.",,Category
MA 16.1,"The organization selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 16.2,"The organization selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 16.3,"The organization selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 17,"The organization evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate.",,Category
MA 17.1,"The organization evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 17.2,"The organization evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
MA 17.3,"The organization evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
